Date,Close,Open,High,Low,Volume,Change
2021-01-12,128.8,128.5,129.69,126.86,91950000.0,-0.0014000000000000002
2021-01-13,130.89,128.76,131.45,128.49,88640000.0,0.016200000000000003
2021-01-14,128.91,130.8,131.0,128.76,90220000.0,-0.0151
2021-01-15,127.14,128.78,130.22,127.0,111600000.0,-0.0137
2021-01-19,127.83,127.78,128.71,126.94,90760000.0,0.0054
2021-01-20,132.03,128.66,132.49,128.55,104320000.0,0.0329
2021-01-21,136.87,133.8,139.67,133.59,120530000.0,0.036699999999999997
2021-01-22,139.07,136.28,139.85,135.02,114460000.0,0.0161
2021-01-25,142.92,143.07,145.09,136.54,157610000.0,0.0277
2021-01-26,143.16,143.6,144.3,141.37,98390000.0,0.0017000000000000001
2021-01-27,142.06,143.43,144.3,140.41,140840000.0,-0.0077
2021-01-28,137.09,139.52,141.99,136.7,142620000.0,-0.035
2021-01-29,131.96,135.83,136.74,130.21,177520000.0,-0.0374
2021-02-01,134.14,133.75,135.38,130.93,106240000.0,0.0165
2021-02-02,134.99,135.73,136.31,134.61,83310000.0,0.0063
2021-02-03,133.94,135.76,135.77,133.61,89880000.0,-0.0078000000000000005
2021-02-04,137.39,136.3,137.4,134.59,84180000.0,0.0258
2021-02-05,136.76,137.35,137.42,135.86,75690000.0,-0.0046
2021-02-08,136.91,136.03,136.96,134.92,71300000.0,0.0011
2021-02-09,136.01,136.62,137.88,135.85,76770000.0,-0.0066
2021-02-10,135.39,136.48,136.99,134.4,73050000.0,-0.0046
2021-02-11,135.13,135.9,136.39,133.77,64280000.0,-0.0019
2021-02-12,135.37,134.35,135.53,133.69,60150000.0,0.0018
2021-02-16,133.19,135.49,136.01,132.79,80580000.0,-0.0161
2021-02-17,130.84,131.25,132.22,129.47,98090000.0,-0.0176
2021-02-18,129.71,129.2,130.0,127.41,96860000.0,-0.0086
2021-02-19,129.87,130.24,130.71,128.8,87670000.0,0.0012
2021-02-22,126.0,128.01,129.72,125.6,103920000.0,-0.0298
2021-02-23,125.86,123.76,126.71,118.39,158270000.0,-0.0011
2021-02-24,125.35,124.94,125.56,122.23,111040000.0,-0.0040999999999999995
